0.2		10.64		S
33.160000000000004		41.8		S
82.36		85.64		S
87.92		89.64		S
97.56		101.8		S
111.24000000000001		113.56		S
115.48		118.72		S
129.35999999999999		131		S
142.32		144.32000000000002		S
146.35999999999999		149.24		S
154.79999999999998		157.60000000000002		S
188.67999999999998		195.8		S
205.16		212.52		S
293.8		295.84000000000003		S
305.71999999999997		309		S
314.12		315.96000000000004		S
354.03999999999996		356.56		S
368.15999999999997		376.8		S
388.15999999999997		391.36		S
417.88		428.44		S
434.08		436		S
441.03999999999996		444.40000000000003		S
473.2		475.88		S
527.6400000000001		529.92		S
547.44		576.4799999999999		S
580.36		592.16		S
595.36		599.9599999999999		S
610.1600000000001		612.7199999999999		S
624.32		627.7199999999999		S
630.32		637.68		S
642.5200000000001		644.8		S
650		657.16		S
659.5600000000001		679.64		S
738.96		740.9599999999999		S
868.12		871.3199999999999		S
875.5200000000001		883.88		S
900.5600000000001		906.9599999999999		S
919.36		927.88		S
947.44		952.4799999999999		S
959.12		963.4399999999999		S
965.6400000000001		969.56		S
971.36		977.92		S
997.96		1000		S
1003.36		1008.4		S
1061.16		1066.56		S
1068		1121.6		S
1127.16		1128.96		S
1135.56		1139.8		S
1147.8		1164.96		S
1167.6000000000001		1169.36		S
1170.76		1172.52		S
1174.44		1177.36		S
1184.3600000000001		1187.6399999999999		S
1196.2		1237.96		S
1244.04		1245.96		S
1249.76		1255.8799999999999		S
1265.24		1271.84		S
1282.96		1286.56		S
1297.8400000000001		1302.6399999999999		S
1304.56		1309.68		S
1337.16		1338.9199999999998		S
1350.4		1355.52		S
1359.44		1363.72		S
1365.4		1367.52		S
1372.64		1386.96		S
1414.92		1423.36		S
1429.4		1431.56		S
1436.88		1439.12		S
1456.8400000000001		1459.1599999999999		S
1461.0800000000002		1463.08		S
